GENE.ID	GENE.NAME	cdc28_0	cdc28_10	cdc28_20	cdc28_30	cdc28_40	cdc28_50	cdc28_60	cdc28_70	cdc28_80	cdc28_90	cdc28_100	cdc28_110	cdc28_120	cdc28_130	cdc28_140	cdc28_150	cdc28_160
YBR263W	YBR263W	-0.41	0.02	-0.05	-0.07	0.08	-0.39	0.12	0.24	0	0.69	0.16	-0.09	-0.24	0.01	0.1	-0.41	0.23
YGL206C	YGL206C	0.05	-0.1	-0.4	-0.33	0.13	-0.05	0.18	-0.2	0.12	0.72	0.1	-0.25	-0.64	0.075	0.16	0.26	0.26
YHR165C	YHR165C	-0.52	0.23	-0.25	-0.14	0.29	0.21	0.23	0.44	0.17	0	0.19	-0.19	-0.11	-0.035	-0.14	-0.32	-0.07
YHR218W	YHR218W	-0.04	-0.21	0.56	-0.07	-0.29	-0.21	-0.02	-0.2	0.23	-0.29	0.51	0.48	0.5	-0.055	-0.33	-0.65	0.05
YEL040W	YEL040W	-0.55	0.09	0.23	-0.1	0.09	-0.27	-0.17	-0.01	-0.12	0.25	0.05	0.07	0.02	0.035	-0.2	0.38	0.25
YOR196C	YOR196C	-0.27	-0.05	-0.15	-0.12	-0.16	0.11	0.13	0.22	0.08	0	-0.26	0	-0.04	0	0	0.37	0.12
YDL001W	YDL001W	-0.11	-0.11	-0.05	0.35	0.15	-0.01	-0.2	0.13	0.33	0.03	0.06	0.02	0.13	-0.46	0.005	-0.14	-0.12
YCR034W	YCR034W	-1.4	-0.47	0.36	0.06	-0.05	0.05	0.62	-0.07	-0.18	0.19	0.13	-0.01	0.03	0.04	0.5	0.44	-0.2
YHR171W	YHR171W	0.07	-0.93	-1	0.04	0.04	0.38	0.14	-0.04	0.26	0.35	0.07	0.17	0.2	0.07	0.38	-0.04	-0.11
YKR009C	YKR009C	0.64	-0.37	-0.42	-0.33	-0.35	-0.58	-0.45	0.06	0.13	0.62	0.2	0.24	-0.13	0.23	-0.23	0.36	0.38
YIL089W	YIL089W	1.1	0.81	0.68	-0.48	-0.48	-0.02	-0.48	-0.21	0.33	-1.25	-0.25	0.05	-0.02	-0.02	0.12	-0.05	0.15
YIL152W	YIL152W	0.39	-0.37	0.25	0.32	0.44	0.41	0.14	-0.22	-0.34	0.16	-0.53	-0.37	-0.02	0.01	-0.005	-0.04	-0.24
YOR164C	YOR164C	-0.15	0.03	0.2	0.24	-0.08	-0.04	0.23	0.05	0.04	-0.57	-0.06	-0.15	0.18	0.11	0.035	-0.13	0.1
YKL166C	YKL166C	-0.15	0.16	-0.27	0.08	-0.11	-0.13	-0.12	0.19	0	0.22	0.04	-0.1	-0.02	0.005	0.16	0.04	0.01
YNL056W	YNL056W	-0.56	-0.17	-0.67	-0.62	-0.37	-0.52	0.1	0.31	0.59	0.25	-0.16	0.32	-0.08	0	-0.04	1.1	0.47
YJR043C	YJR043C	-0.54	0.08	0.89	0.74	0.3	0.3	0.22	0.05	-0.22	-1.15	0.11	0.26	0.23	-0.05	0.095	-0.83	-0.39
YOL075C	YOL075C	-0.16	0.09	-0.45	-0.5	-0.05	-0.31	-0.03	-0.25	0.29	0.42	0.34	0.27	0.09	0.13	0.13	0.09	0.09
YKL175W	YKL175W	-0.18	-0.47	-0.25	0.02	0.02	0.03	-0.02	-0.05	-0.18	0.35	0.06	0.03	-0.06	0.42	0.02	0.25	0.03
YDL172C	YDL172C	0.12	-0.25	0.02	0.04	-0.13	-0.33	-0.05	-0.21	-0.25	0.3	0.03	0.03	-0.17	0.45	0.015	0.38	0.01
YNL147W	YNL147W	-0.27	-0.07	0.09	-0.09	0.34	-0.3	0.09	-0.04	-0.31	0.34	0.21	0.1	-0.18	0.025	0.09	-0.11	0.1
YOR291W	YOR291W	0.38	0.21	0.04	0	-0.2	-0.09	0.02	0.08	0.12	-0.16	0.11	-0.27	0.13	-0.13	0.015	-0.25	0.01
YDL081C	YDL081C	-0.01	-0.26	0.13	0.12	0.51	-0.37	0.09	-0.03	-0.34	0.105	-2.65	0.5	-0.4	0.68	0.82	0.49	0.71
YDR342C	YDR342C	0.13	-0.96	-0.59	0.31	0.11	-0.13	-0.17	-0.15	0.19	0.39	0.39	0.1	-0.25	0.105	0.01	0.16	0.44
YAL047C	YAL047C	-0.26	0.17	0.46	-0.19	-0.14	-0.35	0.1	-0.22	-0.15	0.37	-0.05	-0.02	0	0.19	-0.035	0.18	-0.09
YOR309C	YOR309C	-0.76	-0.13	0.04	-0.14	0.21	-0.12	-0.04	0.02	-0.28	1.16	0.23	-0.84	-0.23	0.23	0.17	0.25	0.23
YDL007W	YDL007W	-0.41	0	-0.16	-0.43	-0.26	-0.25	0.06	-0.06	-0.21	0.2	0.22	-0.03	-0.06	-0.045	0.39	0.69	0.32
YCR006C	YCR006C	-0.33	-0.71	-0.21	0.06	-0.21	-0.21	0.11	0.25	-0.21	0.76	0.06	-0.09	0.06	0.16	0.01	0.06	0.42
YPR070W	YPR070W	0	-0.46	-0.2	0.13	-0.06	0.29	-0.07	0.44	0.39	0.03	0.13	-0.77	0.22	-0.14	0.07	0.03	0.03
YER093C	YER093C	-0.33	0.31	-0.25	-0.18	0.42	0.26	-0.48	0.11	0.05	-0.21	-0.22	0.03	0.13	0.21	0.04	0.15	0
YBR041W	YBR041W	0	-0.23	-0.01	-0.02	0.17	-0.22	-0.07	-0.02	-0.22	0.11	0.18	0.42	0.49	-0.02	-0.06	-0.4	-0.14
YOR351C	YOR351C	0.18	0.68	0.34	0.09	0.68	0.18	-0.74	0.74	-0.32	0.09	0	-0.91	-0.1	-0.45	0	0.42	-0.91
YGR191W	YGR191W	0.01	0.51	-0.08	-0.44	-0.23	0.03	0.44	0.25	0.26	-0.2	-0.15	-0.15	0.08	-0.075	-0.1	-0.07	-0.14
YCR005C	YCR005C	0.43	-0.38	-1.12	-0.92	-1.15	-1.19	-0.49	0.62	0.84	0.64	0.67	1.01	0.95	0.15	0.38	-0.21	-0.08
YDR054C	YDR054C	-0.46	0.02	-0.37	-0.21	-0.56	0.02	-0.2	0.06	0.12	0.43	0.25	-0.09	0.15	0.3	0.04	0.29	0.24
YLR321C	YLR321C	-0.44	-0.34	-0.02	-0.16	-0.23	0.13	0.12	0.01	-0.05	0.02	0.12	-0.11	0.03	0.015	0.42	0.23	0.26
YER047C	YER047C	-0.55	0.05	0.26	0.26	0.11	0.31	0.29	0.4	-0.07	-0.1	-0.24	-0.35	0.21	-0.01	-0.1	0.26	-0.74
YOL141W	YOL141W	-0.01	0.33	0.22	-0.19	0.07	0.19	0.66	0.63	-0.24	-0.71	-0.51	0.33	-0.05	-0.05	-0.1	0.22	-0.78
YGR154C	YGR154C	0.16	0.23	-0.04	0.08	-0.17	-0.17	-0.04	-0.52	0.19	-0.08	0.08	0.48	-0.36	-0.21	0.39	0.19	-0.21
YGL195W	YGL195W	-0.18	-0.06	0.22	0.2	0.2	-0.04	0.21	0.27	-0.06	0.44	-0.09	-0.41	-0.27	-0.05	-0.29	-0.2	0.07
YML107C	YML107C	0.38	-0.13	-0.02	-0.21	-0.79	0.09	0.54	0.16	0.1	-0.19	0.13	-0.2	-0.1	0.16	0.09	0.09	0.09
YDR508C	YDR508C	0.17	-0.22	-0.71	-0.32	-0.13	-0.16	-0.07	-0.06	0.28	0.26	0.33	0.22	0.08	0.025	0.28	0.02	0.03
YAR028W	YAR028W	-0.45	-0.31	-0.31	-0.21	-0.09	0.31	0.37	0.42	0.16	-0.2	-0.16	-0.03	0.27	-0.05	-0.04	0.07	0.22
YKL182W	YKL182W	-0.06	0.11	0.78	0.33	-0.21	-0.22	-0.45	-0.63	-0.03	0.21	-0.33	0.34	0.16	0.04	-0.43	0.12	0.3
YNR067C	YNR067C	-0.46	-1.19	-2.23	-1.76	-0.72	0.23	-0.63	-0.95	0.39	2.21	2.07	1.43	0.87	0.58	0.16	0.16	0.16
YDR421W	YDR421W	0.5	-0.57	-0.87	-0.42	-0.12	0.2	-0.23	0.19	0.41	-0.16	0.25	0.28	0.09	0.26	0.17	0.17	0.17
YJL029C	YJL029C	-0.24	-0.26	-0.53	-0.32	-0.09	0.42	0	-0.22	0.3	0.09	-0.01	0.21	0.33	0.3	-0.005	-0.02	0.03
YFL010C	YFL010C	0.47	0.12	0.46	0.63	0.15	-0.09	-0.06	0.03	-0.43	0.37	-0.31	-0.53	-0.19	-0.065	-0.37	-0.18	-0.07
YFR031C	YFR031C	-0.34	-0.31	0.31	0.29	0.26	-0.05	0.15	0.01	-0.17	0.04	0.24	-0.07	0.02	0.015	0.26	-0.37	-0.26
YDR346C	YDR346C	-0.55	0.09	0.1	0.3	0.32	0.12	0.11	0.09	0.03	-0.52	-0.35	-0.19	-0.13	0.29	0.095	0.2	0.1
YOR085W	YOR085W	-0.55	-0.53	-0.22	-0.18	-0.08	0.13	0.08	0.06	0.23	0.22	0.23	0.13	0.48	0.07	0.13	-0.18	0.06
YOR066W	YOR066W	0.05	0.49	-0.35	-1.06	-0.36	-0.55	-0.46	0.46	0.68	0.96	0.71	0.5	-0.27	-0.45	-0.35	-0.27	-0.27
YOR251C	YOR251C	-0.41	0.09	-0.06	-0.16	0.3	-0.06	0.04	0.1	0.09	-0.11	-0.17	0.08	-0.06	0.13	0.06	0.09	0.08
YKL130C	YKL130C	-0.52	-0.23	-0.63	-0.48	-0.11	0.17	0.3	0.75	0.63	0.09	-0.17	-0.13	-0.38	0.23	-0.02	0.4	0.07
YKL028W	YKL028W	-0.2	-0.15	0.03	0.06	0.03	-0.08	0.04	0.18	0.03	0.17	0.25	-0.12	-0.15	0.03	0.05	-0.1	-0.05
YNL167C	YNL167C	-0.18	-0.25	-0.29	0.13	0.12	0.15	0.15	0.17	-0.03	0.13	0.01	-0.19	-0.08	0.045	-0.03	0.11	0.08
YOL042W	YOL042W	0.13	-0.12	-0.18	-0.01	-0.21	0.2	0.48	0.43	0.23	-0.41	-0.12	-0.28	0.33	-0.05	-0.03	-0.69	0.25
YGL208W	YGL208W	0.86	-0.47	-0.08	-0.03	-0.14	-0.16	-0.14	0.26	0.11	-0.14	-0.19	-0.08	-0.08	-0.16	0.01	0.01	0.43
YGR184C	YGR184C	0.25	-0.01	-0.32	-0.39	-0.25	-0.14	0.17	0.17	0.2	0.27	0.33	-0.02	0.01	0	0.07	-0.19	-0.14
YDR254W	YDR254W	0.06	-0.78	-0.96	0.49	-0.03	0.46	0	0.06	0.28	-0.26	0.07	0.24	0.52	-0.01	0.06	-0.27	0.14
YDL057W	YDL057W	1.31	-0.19	-0.43	-0.01	-0.05	-0.28	-0.56	-0.19	-0.24	-0.09	0.24	0.38	0.16	-0.54	-0.01	0.24	0.26
YBL037W	YBL037W	-0.22	-1.75	-0.77	-0.3	0.81	0.55	0.62	0.28	0.45	-1.05	0.05	0.46	0.51	0.17	0.06	0.02	0.11
YBR113W	YBR113W	-0.55	-0.69	0.2	0.08	0.04	-0.24	0.01	0.08	-0.05	0.59	0.26	0.29	0.24	-0.09	0.32	-0.73	0.24
YCR015C	YCR015C	0.62	-0.24	-0.79	-0.12	0.15	0.13	0.06	0.34	0.21	-0.46	-0.12	0.15	0.21	-0.46	0.21	-0.08	0.21
YOR217W	YOR217W	-0.31	0.14	0.13	-0.14	0.01	0.04	0.15	0.05	-0.17	-0.06	-0.22	-0.08	-0.32	0.02	0.03	0.57	0.17
YMR025W	YMR025W	0.66	-0.18	-0.77	0.01	-0.46	-0.04	0.31	-0.25	0.19	-0.64	0.43	0.08	0.2	0.32	0.15	0.08	0.08
YPR020W	YPR020W	-0.44	-1.06	-0.61	-0.22	0.33	0.22	-0.09	0.13	0.23	0.63	0.15	-0.29	-0.01	0.19	0.095	0.06	0.77
YJL090C	YJL090C	0.13	0.47	0.71	0.34	0	0.23	0.2	0.13	0.34	-1.16	-2.11	0.29	0.08	0.29	0.06	0.2	0.2
YDR370C	YDR370C	-0.29	0.29	-0.11	0.34	0.08	0.22	-0.17	0.37	0.41	-0.55	-0.17	0.01	-0.05	-0.21	-0.045	-0.04	-0.11
YFR001W	YFR001W	-0.24	0.17	0.51	0.24	0.02	-0.22	0.16	0.06	-0.18	0.32	-0.01	-0.37	-0.34	-0.15	0.005	-0.13	0.15
YOR109W	YOR109W	-0.22	0.31	0.01	-0.02	-0.11	0.12	-0.18	-0.24	0.07	0.13	-0.07	0.22	-0.02	-0.26	-0.02	0.42	-0.14
YJL101C	YJL101C	-0.05	-0.32	-0.21	-0.16	0.51	-0.01	-0.42	-0.46	0.44	-0.77	-0.58	0.36	0.45	0.09	-0.03	0.41	0.73
YNR049C	YNR049C	-0.07	0.12	0.19	-0.07	-0.14	-0.06	-0.17	0.08	-0.17	-0.05	-0.11	0.27	-0.33	-0.065	0.03	0.6	-0.11
YLR355C	YLR355C	-0.68	-0.29	-0.04	-0.05	0.16	-0.31	-0.2	0.25	-0.43	1.12	0.25	-0.015	-0.4	0.26	0.01	0.26	0.09
YDR077W	YDR077W	-0.16	-0.08	-0.2	-0.24	-0.1	-0.65	-0.15	-0.33	-0.62	0.94	0.37	-0.125	-0.47	0.33	0.43	0.49	0.44
YER133W	YER133W	-0.73	0	-0.05	0.07	-0.03	-0.5	0.08	-0.08	-0.22	0.47	0.11	0.14	0.045	0.17	0.21	0.35	0.02
YFR003C	YFR003C	0.88	-0.35	-1.04	-0.24	0.19	-0.03	-0.37	-0.35	-0.17	0.02	0.25	0.15	0.42	0.41	0.23	0.02	0.02
YIL017W	YIL017W	-0.12	-0.19	0.14	0.02	0.02	-0.19	0.26	0.08	0.2	-0.12	0.56	0.26	-0.63	-0.19	0.26	-0.35	0.02
YGR257C	YGR257C	0.17	-0.5	-0.19	-0.15	-0.24	-0.09	0.09	-0.04	0.02	0.12	0.12	0.05	-0.02	0.11	0.035	0.23	0.31
YFL012W	YFL012W	0.37	1.85	1.27	0.16	-0.54	-0.37	0.1	-0.37	0.04	0.27	0.16	0.16	0.27	-1.22	0.04	-0.54	-1.54
YOL013C	YOL013C	0.35	-0.24	-0.99	0.05	0.36	-0.12	0.43	-0.01	-0.01	0.13	0.27	-0.17	0.16	0	-0.22	0	0
YIL086C	YIL086C	-0.35	-0.13	0.14	-0.26	-0.78	-0.21	-0.5	-0.67	0.68	0.68	0.55	0.61	-0.24	-0.11	0.51	0.36	-0.26
YDR324C	YDR324C	-0.97	0.46	0.01	-0.4	-0.45	0.39	0.56	0.16	0.26	-0.09	-0.26	-0.31	-0.23	0.24	0.085	0.35	0.27
YMR171C	YMR171C	-0.3	-0.05	0.06	0.18	0.01	0.11	0.06	-0.37	0.13	-0.05	0.14	0.06	0.27	-0.27	0.055	0.05	-0.01
YLR328W	YLR328W	0	-0.37	-0.54	-0.27	-0.18	0.04	0.1	0.16	0.1	0.15	0.25	-0.13	0.29	0.12	0.1	0.17	0.12
YDL049C	YDL049C	0.43	0.4	0.56	0.77	0.34	0.29	-0.19	0.27	0.15	-0.79	-0.18	-0.35	-0.52	-0.52	-0.015	-0.45	-0.21
YOR237W	YOR237W	-0.52	0.74	1.63	1.43	1.49	0.67	0.6	0.06	-0.63	-0.49	-0.76	-0.17	-0.54	-0.66	-0.33	-1.17	-1.68
YKL091C	YKL091C	-0.11	-0.51	-0.8	-0.65	-0.18	-0.36	-0.2	-0.04	0.54	0.04	-1.23	0.83	1.01	0.91	0.64	-0.11	-0.11
YEL021W	YEL021W	-0.68	0.54	0.16	0.03	0.19	-0.42	-0.06	0.27	-0.04	0.18	-0.09	-0.13	-0.09	-0.005	0.11	0.19	-0.14
YLR408C	YLR408C	0.52	-0.58	-0.55	0.11	0.28	0.04	0.08	-0.31	-0.15	0.1	0.18	0.06	-0.2	0.19	0.07	0.03	0.21
YDR285W	YDR285W	0.6	0.69	0	0.23	-0.27	-0.01	-0.31	-0.08	0.09	-0.35	-0.07	-0.23	-0.43	0	-0.01	-0.01	0.14
YDR229W	YDR229W	0.2	-0.28	-0.58	-0.14	0.15	-0.11	-0.41	-0.01	-0.04	0.12	0.24	0.19	-0.1	0.28	0.055	0.23	0.26
YDR134C	YDR134C	-1.29	-0.33	0.35	0.1	0.25	-0.31	0.12	-0.46	-0.77	0.52	0.23	0.175	-0.39	0.64	0.43	0.64	0.27
YMR274C	YMR274C	-0.16	-0.86	-0.28	0.6	-0.24	0.58	0.5	0.06	0.26	-0.2	-0.24	-0.05	0.48	0.13	0.2	-0.8	0.01
YMR137C	YMR137C	0.05	-0.01	-0.25	-0.24	0.01	0.01	0.36	0.15	0.09	0.04	-0.22	-0.08	0.18	-0.14	0.05	0.01	0.01
YCRX14W	YCRX14W	-0.79	0.03	-0.1	0.21	-0.31	-0.03	0.24	0.47	0.28	-0.02	0.39	0.24	0.27	-0.16	-0.09	-0.46	-0.17
YIL116W	YIL116W	-0.4	-0.41	-0.22	-0.14	-0.16	0.16	0.09	-0.12	-0.17	-0.26	-0.17	0.11	0.25	-0.13	0.55	0.36	0.52
YOL059W	YOL059W	0.21	-0.01	-0.89	-1.04	-0.93	-0.61	-0.35	-0.07	0.38	0.9	0.4	0.32	0.43	0.22	0.23	0.78	0.25
YHL011C	YHL011C	-0.38	0.16	0.43	0.13	-0.23	-0.2	0.25	-0.01	0.02	-0.07	0.07	0.09	-0.24	0.005	0.19	-0.02	-0.2
YJL043W	YJL043W	-0.39	0.42	0.19	0.42	0.25	0.25	-1.81	-0.58	-0.58	1.19	0.31	0.52	0.25	0.42	0.78	-0.81	-0.07
YER051W	YER051W	0.12	0.05	0.03	-0.55	0.08	0.03	0.18	0.42	0.18	-0.14	-0.31	-0.02	0.05	-0.02	-0.22	0.12	0.03
YLR310C	YLR310C	-0.41	-0.13	-0.14	-0.16	0.06	0.31	0.31	0.29	-0.01	-0.12	0.24	-0.01	0.14	-0.05	-0.12	-0.16	-0.09
YDR535C	YDR535C	-0.3	-0.1	0.39	-3	-2.42	0.75	-0.42	0.85	0.52	1.72	0.39	0.85	0.46	0.95	-0.42	-1	0.78
YGR254W	YGR254W	-0.28	-0.41	-0.38	-0.88	-0.83	-0.38	-0.12	-0.11	0.06	1.11	0.38	0.51	0.08	-0.025	0.38	0.61	0.26
YHR216W	YHR216W	-0.5	-0.23	0.05	0.04	-0.41	0.13	0.16	0.14	0.33	-0.16	0.05	0.29	0.38	0.045	-0.03	-0.22	-0.01
YIL166C	YIL166C	0.87	0.36	0.41	0.3	-0.53	-0.02	-0.34	-0.09	0.61	-0.88	0.05	0.57	0.24	-0.02	-0.25	-0.53	-0.76
YOR316C	YOR316C	0.05	-0.48	-0.35	-0.35	-0.32	-0.14	-0.09	-0.17	-0.01	0.68	0.39	0.44	-0.24	-0.05	0.16	0.18	0.26
YER177W	YER177W	-0.07	-0.24	0.16	0.06	-0.11	-0.56	-0.16	-0.16	-0.41	0.92	0.32	-0.09	-0.2	-0.17	0.18	0.21	0.22
YBR225W	YBR225W	0.1	0.24	-0.31	-0.14	0.17	0.03	0.25	0.52	0.21	0.09	-0.08	-0.17	0	-0.85	-0.07	0.03	0.03
YER030W	YER030W	0.22	0.35	0.2	0.2	0.26	-0.25	0.22	0.18	-0.31	-0.01	-0.36	-0.27	-0.22	-0.06	-0.025	-0.04	-0.11
YLR059C	YLR059C	-0.14	0.11	0.48	0.43	0.15	-0.01	-0.13	-0.15	-0.12	0.51	-0.16	-0.45	-0.09	-0.06	-0.23	0.15	-0.35
YER049W	YER049W	-0.57	0.1	-0.01	-0.16	-0.02	-0.33	0.19	0.17	-0.01	0.08	-0.18	0	0.04	0.18	0.015	0.49	0.03
YLL060C	YLL060C	0.87	0.08	0.29	0.23	0.03	0.15	0.23	-0.25	-0.06	-0.47	0.03	-0.29	-0.06	-0.34	-0.01	-0.05	-0.39
YNL033W	YNL033W	0.13	-1.13	-0.64	0.43	0.65	0.52	0.38	-0.2	-0.27	-0.13	-0.31	-0.07	0.19	0.34	0.13	0.21	-0.24
YGL017W	YGL017W	0.41	0.26	0.47	0.27	0.05	-0.27	0.09	0.43	0.21	-0.39	0.1	-0.23	0.05	-0.56	-0.23	-0.41	-0.25
YCR045C	YCR045C	0.13	0.35	0.57	0.27	0.05	-0.17	0	-0.09	-0.26	-0.61	0.14	-0.12	0.36	0	-0.19	0	-0.44
YDR213W	YDR213W	-0.89	-0.59	0.31	0.86	1.16	0.38	-0.09	0.03	-0.12	-0.01	-0.23	-0.17	-0.28	-0.21	-0.16	-0.12	-0.12
YJL119C	YJL119C	0.18	0.21	0.03	0.35	0.47	0.45	0	-0.05	-0.18	-0.63	-0.39	-0.01	0.08	0.21	0.015	-0.27	-0.43
YMR062C	YMR062C	-0.48	-0.31	-0.2	-0.06	-0.75	-0.11	0.18	-0.28	-0.27	0.26	-0.16	0.06	0.13	0.56	-0.085	0.75	0.69
YNL198C	YNL198C	-0.39	0.11	-0.39	0.41	-0.1	-0.03	0.38	0.46	0.18	-0.96	0.11	0.04	0.41	0.21	-0.18	-0.26	0.01
YNL015W	YNL015W	0.01	-0.13	-0.57	-0.58	-0.59	-0.62	-0.52	-0.66	-0.49	0.93	1.11	0.72	-0.06	0.68	0.29	0.09	0.32
YDR303C	YDR303C	-0.59	-0.51	-0.23	-0.25	0.28	0.41	0.23	-0.14	-0.01	0.03	-0.08	0.08	0.13	0.41	0.025	0.22	0.02
YPR002W	YPR002W	0.93	-0.28	-0.2	0.11	-0.33	-0.78	-0.85	0.17	0.92	1.23	0.73	0.48	0.33	-0.54	-0.39	-0.89	-0.63
YGR287C	YGR287C	0.11	-0.72	-0.5	-0.19	0.11	-0.09	0.28	0.24	0.28	0.28	0.39	-0.14	0.19	-0.14	0.24	-0.14	-0.19
YDL195W	YDL195W	0.02	-0.2	0.18	0.15	0.46	-0.09	0.05	-0.2	-0.28	0.02	0.15	0.18	-0.08	0.02	-0.18	0.12	-0.31
YCL039W	YCL039W	-0.41	-0.28	0.23	0.49	0.36	0.07	-0.26	0.24	0.04	0.49	0.25	0.23	0.03	-0.54	0.055	-0.86	-0.07
YBR131W	YBR131W	0.15	0.09	0.08	-0.09	0	0	-0.14	0.17	-0.11	-0.04	-0.17	-0.21	0.2	0.21	0.29	0.16	-0.6
YGR079W	YGR079W	0.21	0.36	0.18	0.27	0.26	0.41	-0.05	-0.11	0.05	-0.26	-0.41	-0.05	0.1	-0.07	0	-0.27	-0.61
YJL089W	YJL089W	1.56	1.03	0.18	-0.13	0.12	0.1	-0.35	-0.5	0.03	-0.04	-0.04	-1.13	-0.04	-0.37	-0.37	-0.4	0.28
YMR267W	YMR267W	-0.04	0.35	-0.53	-0.59	-0.05	-0.04	0.16	0.15	0.12	-0.17	-0.03	0.26	0.07	0.02	-0.06	0.29	0.12
YDR273W	YDR273W	0.54	0.83	0.3	0.73	-0.19	0.16	-0.23	-0.19	0.16	-0.44	-0.44	-0.23	-0.59	-0.07	-0.23	0.1	-0.23
YDR024W	YDR024W	-0.83	0.23	-0.05	0.88	0.51	0.03	-0.29	-0.29	-0.59	0.71	-0.12	-0.29	-0.21	0.17	0.71	0.17	-0.71
YKL118W	YKL118W	0.28	0.47	0.47	0.11	-0.64	0.07	0.35	-0.43	0.22	-0.67	-0.87	0.33	0.27	0.23	-0.03	-0.23	0.07
YPL115C	YPL115C	0.03	-0.23	0.58	0.28	-0.24	0.17	-0.18	-0.17	0.02	0.08	0.3	-0.61	0.12	-0.04	-0.12	0.02	0.02
YBR135W	YBR135W	0.26	-0.07	0.09	0.25	0.32	-0.28	-0.08	-0.06	-0.13	0.29	-0.03	0.06	-0.02	-0.025	-0.02	-0.2	-0.38
YJR059W	YJR059W	-0.03	-0.9	-0.88	-0.57	-0.14	0	-0.15	0.14	0.17	0.58	0.51	0.3	0.24	0.55	0.07	-0.02	0.2
YFR006W	YFR006W	-0.45	-0.43	0.06	0.14	-0.03	0.01	0.01	0.04	0.05	-0.1	-0.15	0.03	0.26	0.07	0.035	0.32	0.16
YGR011W	YGR011W	0.39	-0.09	0.18	0.19	-0.13	-0.33	-0.08	-0.09	-0.19	0.01	-0.06	-0.4	0.17	0.14	-0.07	-0.1	0.39
YOR189W	YOR189W	-0.14	0.16	-0.47	-0.36	0.17	0.05	0.22	0.16	-0.2	0.07	0.02	0.47	-0.31	-0.24	0.035	0.45	-0.04
YKR103W	YKR103W	-1.43	0.42	-0.05	-0.94	-0.75	-0.43	0.06	0.16	0.16	0.16	0.16	0.84	0.71	0.16	0.5	0.5	0.42
YOR068C	YOR068C	0.47	-1.45	-0.81	-0.09	-0.62	-0.23	0.14	0.38	0.67	0.085	0.51	0.19	0.84	-0.03	0.03	0.085	0.085
YGR125W	YGR125W	-0.39	-0.44	-0.94	-0.68	0.04	0.53	0.02	0.05	0.08	0.18	0.21	0.31	0.26	0.29	0.095	0.11	0.34
YOR086C	YOR086C	-0.31	-0.26	-0.48	-0.56	-0.14	0.09	0.03	0.01	0.12	0.23	0.23	0.18	0.2	0.04	0.065	0.32	0.29
YPL171C	YPL171C	0.9	0.19	0.54	1.43	-2.27	-1.27	0.05	0.19	-0.46	0.73	0.32	0.19	-0.27	0.19	-0.1	0.19	0.19
YLR108C	YLR108C	-0.14	-0.9	-1.08	-0.56	-0.08	-0.79	-0.32	-0.43	0.63	0.91	0.04	0.61	1.04	-0.43	0.49	0.63	0.4
YER153C	YER153C	0.53	0.16	0.53	-0.33	0.16	0.1	0.39	-0.1	-0.25	0.67	-0.72	-0.1	0.58	0.04	-0.42	-0.61	-0.61
YOR095C	YOR095C	-0.76	0.17	-0.11	0	0.05	-0.19	-0.28	0.12	0.08	-0.03	0.07	-0.19	0.19	0.32	0.06	0.13	0.43
YJR114W	YJR114W	0.2	0.3	0.31	-0.03	-0.34	-0.03	-0.28	-0.42	-0.06	0.09	0.27	0.21	0.04	0.07	0.005	-0.1	-0.22
YDR191W	YDR191W	0.19	0.19	-0.42	-0.26	-1.01	-0.71	-0.88	0.83	1.41	0.53	0.73	0.16	-0.28	-0.85	-0.44	-0.28	1.07
YIL176C	YIL176C	-0.07	-0.09	0.34	0.47	0.1	-0.01	-0.14	-0.07	-0.12	0.31	-0.03	-0.18	-0.26	-0.1	-0.07	-0.12	-0.04
YCRX01W	YCRX01W	-0.05	-0.21	-1.12	-0.39	-1.49	-0.59	0.1	0.46	0.46	0.1	0.84	0.56	0.88	0.35	0.79	-0.59	0.1
YKL192C	YKL192C	0.08	0.12	-0.09	-0.22	-0.29	-0.23	-0.29	0.21	-0.31	0.58	0.32	0.01	-0.44	0.39	0.16	0.08	-0.06
YEL016C	YEL016C	0.41	0.02	-0.29	0.27	0.16	-0.23	0.09	0.25	-0.09	-0.69	-0.23	-0.39	0.34	0.12	0.34	-0.06	-0.03
YGR259C	YGR259C	0.62	0.35	-0.92	-0.51	-0.26	0.05	0.35	0.52	0.82	-0.75	0.11	0.25	0.25	-0.34	-0.05	-0.3	-0.18
YDR179C	YDR179C	-0.07	0.06	0.07	0.71	0.61	0.71	0.36	0.05	-0.26	-1	-0.75	-0.14	-0.06	0.38	-0.005	-0.31	-0.38
YHR205W	YHR205W	-0.06	-0.06	-0.11	-0.2	0.62	0.71	0.13	0.06	0.07	-0.09	-0.43	-0.23	0.15	-0.075	-0.28	-0.1	-0.19
YCL062W	YCL062W	-0.64	-0.47	-0.95	0.18	0.6	0.46	0.6	0.64	0.46	-0.39	-0.6	-0.33	0.26	0.13	0.155	0.19	-0.12
YGL028C	YGL028C	-0.17	-0.03	-1.27	-0.78	-0.5	-0.53	-0.33	-0.86	-1.17	1.5	1.97	1.46	1.34	0.14	-0.41	-0.7	0.33
YER102W	YER102W	0.02	0.11	0.64	0.37	0.39	-0.39	0.06	0.1	-0.22	0.105	-2.81	0.17	0.03	0.08	0.36	0.53	0.56
